Index;MODEL;RMSD_LB;RMSD_UB;SCORE;SDFMoleculeName;SMILES;TORSDO
0;1.0;0.0;0.0;-5.3;CHEMBL1326498;CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1;F 5
0;1.0;0.0;0.0;-5.3;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
0;1.0;0.0;0.0;-5.2;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
0;1.0;0.0;0.0;-5.1;CHEMBL2172683;CC1=C(CCN2C=C(C3=CC=CC=C3)N=N2)SC=N1;F 4
0;1.0;0.0;0.0;-5.1;CHEMBL3477154;[H]OC1=CC=CC(O[H])=C1C(=O)N(C)CCC1=C(C)N=CS1;F 6
1;2.0;0.972;2.104;-5.1;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
1;2.0;3.111;9.891;-5.1;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
2;3.0;2.624;4.043;-5.0;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
0;1.0;0.0;0.0;-4.9;CHEMBL1419411;CC1=C(CCOC(=O)C2=CC=C(Cl)C=C2)SC=N1;F 5
1;2.0;2.01;2.62;-4.9;CHEMBL1326498;CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1;F 5
2;3.0;2.715;3.433;-4.9;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
3;4.0;2.885;9.379;-4.9;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
4;5.0;3.273;5.571;-4.9;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
0;1.0;0.0;0.0;-4.8;CHEMBL1617558;CC1=C(CCOC(=O)C2=CC=CC=C2)SC=N1;F 5
0;1.0;0.0;0.0;-4.8;CHEMBL1625376;CC1=C(CCOC(=O)C2=CC=C(N(=O)=O)C=C2)SC=N1;F 6
0;1.0;0.0;0.0;-4.8;CHEMBL3483821;[H]OC1=CC=CN=C1C(=O)N(C)CCC1=C(C)N=CS1;F 5
2;3.0;1.565;2.355;-4.8;CHEMBL1326498;CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1;F 5
0;1.0;0.0;0.0;-4.7;CHEMBL1438876;[H]OC1=NN=C(SCCC2=C(C)N=CS2)N1C1=CC=CC=C1;F 6
0;1.0;0.0;0.0;-4.7;CHEMBL1740596;CC1=C(CCOC(=O)C2=CN=CC=C2)SC=N1;F 5
0;1.0;0.0;0.0;-4.7;CHEMBL4564232;[H]N(CCN1([H])CCCC1)C(=O)CCC1=C(C)N=CS1;F 6
1;2.0;3.812;8.514;-4.7;CHEMBL3477154;[H]OC1=CC=CC(O[H])=C1C(=O)N(C)CCC1=C(C)N=CS1;F 6
3;4.0;2.953;7.718;-4.7;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
